,Title
0,Where is Jennifer Kesse? | Full Episode
1,New Jersey woman survives stabbing during home invasion
2,"Woman's love for her daughter helped her survive: ""A mother's instinct"""
3,The COVID Cover-Up: Searching for Gretchen Anthony | Full Episode
4,Lori Vallow Daybell: Guilty | Full Episode
5,Lori Vallow Daybell: Guilty | Sneak peek
6,"""48 Hours"" profiles ""A Stabbing in Colts Neck"""
7,Where is Diana Duve? | Full Episode
8,The Disappearance of Natalee Holloway | Full Episode
9,A Stabbing in Colts Neck | Sneak peek
10,"Inside the Lori Vallow Daybell Trial: Both Sides Rest | ""48 Hours"" Podcast"
11,A Student of Murder | Full Episode
12,Diana Duve case: Authorities tracked down a killer full of lies
13,"Diana Duve case: ""48 Hours"" reports on the murder of a young Florida nurse"
14,Lamar Johnson: Standing in Truth | Full Episode
15,Where is Diana Duve? | Sneak peek
16,"Inside the Lori Vallow Daybell Trial: Broken Trust | ""48 Hours"" Podcast"
17,Lamar Johnson's final chance for freedom: Inside the courtroom
18,Man convicted of murder despite being nowhere near the crime scene
19,The Murder of Jackie Vandagriff | Full Episode
20,What happened the night Chip Flynn was shot?
21,Inside the wrongful conviction of Lamar Johnson
22,Alisa Mathewson's Night Terrors | Full Episode
23,Lamar Johnson: Standing in Truth | Sneak peek
24,"Inside the Lori Vallow Daybell Trial: Lori's Lies | ""48 Hours"" Podcast"
25,Alisa Mathewson’s 55 hours of terror
26,The Killing of Cowboy Ray Green | Full Episode
27,"Alisa Mathewson on facing her ex in court: ""I'm not afraid of him anymore"""
28,Christy and Hilda's Last Dance | Full Episode
29,The Strange Death of Professor Shockley | Full Episode
30,Alisa Mathewson's Night Terrors | Sneak peek
31,The Betrayal of Linda Slaten | Full Episode
32,Peter Chadwick: Caught | Full Episode
33,"Inside the Lori Vallow Daybell Trial: Zombies and Evil Spirits | ""48 Hours"" Podcast"
34,Katrina Brownlee: The Good Cop | Full Episode
35,The Kidnapping of Schanda Handley | Full Episode
36,"""48 Hours"" correspondents revisit their most memorable episodes | Trailer"
37,Hilda Marcela Cabrales: Architect's American dream tragically cut short
38,"Christy Giles: ""She was like a tornado"""
39,Christy and Hilda's Last Dance | Sneak peek
40,"""48 Hours"" investigates the deaths of Christy Giles and Hilda Marcela Cabrales"
41,Kassanndra's Secret | Full Episode
42,"Inside the Lori Vallow Daybell Trial: Opening Statements | ""48 Hours"" Podcast"
43,The Missing Children of Lori Vallow Daybell | Full Episode
44,Kassanndra Cantrell shared a secret with her best friend before she went missing
45,Kassanndra Cantrell murder: How investigators pieced together Tacoma woman's final moments
46,"""48 Hours"" investigates Tacoma woman's disappearance"
47,Blade Runner: The Verdict | Full Episode
48,Secrets and Lies on Grapevine Lake | Full Episode
49,The Mysterious Death of Tiffiney Crawford | Full Episode
50,Secrets in the Sand | Full Episode
51,"Medical examiner on Alabama mom's death: ""That was concerning to me"""
52,Investigating the death of Tiffiney Crawford
53,Remembering the Chowchilla Kidnapping | Full Episode
54,The Mysterious Death of Tiffiney Crawford | Sneak peek
55,Chowchilla bus kidnapping stories of survival
56,A Mind for Murder | Full Episode
57,Chowchilla survivor Jodi Heffington tells her story
58,What Angelina Saw | Full Episode
59,Remembering the Chowchilla Kidnapping | Sneak peek
60,Maggie Murdaugh’s friends break their silence
61,The Writing on the Wall | Full Episode
62,What didn't Angelina Fernandes know about her mom's relationship with Andrew Wagner?
63,What Angelina Saw | Sneak peek
64,The Trial of Alex Murdaugh | Full Episode
65,The Trial of Alex Murdaugh | Sneak peek
66,Kassanndra's Secret | Sneak peek
67,The Plot to Kill Jamie Faith | Full Episode
68,The Brighton ax murder of 1982
69,Current wife defends man convicted of murdering first wife
70,The Murdaugh Mysteries | Full Episode
71,The Brighton Ax Murder | Sneak peek
72,The Psychiatrist and the Selfie | Full Episode
73,Victims of kidnapping forgive attacker 20 years later
74,The Snapchat Clue | Full Episode
75,"""Kidnapping was a piece of cake compared to [MS]"" says survivor"
76,The Kidnapping of Michelle & Breea Renee | Sneak peek
77,Death on Valentine's Day | Full Episode
78,How criminal blunders led investigators to catch these killers
79,Georgia police officer calls his boss and says his wife shot herself
80,The Puzzle: Solving the Madeleine McCann Case | Full Episode
81,Eric Smith: Gambling on a Killer | Full Episode
82,Gabby Petito: The Untold Story | Full Episode
83,The Death of an Officer's Wife | Sneak peek
84,Last Seen in Breckenridge | Full Episode
85,Families seek answers after a serial killer claims four lives
86,Devil’s Island | Full Episode
87,Death by Text | Full Episode
88,Crosley Green Comes Home | Full Episode
89,The Daughters Who Disappeared | Sneak peek
90,Mystery at Eagle Creek | Full Episode
91,Prosecutors: Surveillance footage gives clues to what happened when Fla. man was killed.
92,Former cosplay model Melissa Turner goes on trial for murder
93,Melissa Turner's Closing Act: Sneak peek
94,Idaho student murders: Remembering the victims
95,The Idaho Student Murders | Full Episode
96,The Idaho Student Murders | Sneak peek
97,The Plot to Kill Dr. Sievers | Full Episode
98,Missing Marsha | Full Episode
99,The Mysterious Death of Casey Kasem | Full Episode
100,Dear Savanna | Full Episode
101,Death and the Dentist | Full Episode
102,The Murder of Haley Anderson | Full Episode
103,Chacey Poynter: Witness to Murder | Full Episode
104,DNA from tree needles recovered off boots in suspect's home
105,Who was Mengqi Ji?
106,How DNA from a juniper tree helped solve a Missouri murder
107,The Corn Rake Murder | Full Episode
108,The Tree that Helped Solve a Murder | Sneak peek
109,"""Lizzie Borden Took an Axe"" | Full Episode"
110,The Disappearance of Kelly Dwyer | Full Episode
111,Linda Slaten case: The nearly 40-year investigation into Florida mom's murder
112,The Betrayal of Linda Slaten | Sneak peek
113,The Shape of a Killer | Full Episode
114,Michael Politte paroled decades after conviction for his mother's murder
115,The Case Against Michael Politte | Sneak peek
116,What Ever Happened to Mary Day? | Full Episode
117,"""48 Hours” contributor Troy Roberts  on his life-changing decision"
118,This little girl was once adopted — only to be brought back to Russia
119,"Two women, two unsolved murders, and two orange socks"
120,"""48 Hours"" investigates connected Colorado cold cases"
121,Last Seen in Breckenridge | Sneak peek
122,Police collect a cigarette butt to help close a decades-old cold case
123,"Meet the DNA ""detective"" who helped solve a decades-old cold case"
124,"How a genetic genealogist helped solve Roxanne Wood's ""unsolvable"" murder"
125,"The ""Unsolvable"" Murder of Roxanne Wood | Sneak peek"
126,Chandler Halderson's secrets revealed
127,A Wisconsin couple suddenly disappeared — what was their son hiding?
128,The Psychiatrist and the Selfie  | Sneak peek
129,The Snapchat Clue | Sneak peek
130,Mandy Stavik: The Case No One Could Forget | Full Episode
131,"""My Life of Crime"": Season 3 of the award-winning true-crime podcast debuts"
132,The Disappearance of Kristin Smart | Full Episode
133,Storm of Suspicion | Full Episode
134,Louisiana mother recounts the details of violent kidnapping
135,Deputy who discovered abducted woman reunites with her years later
136,"Security camera records estranged husband: ""Kill her ... kill her."""
137,Sneak peek: The Disappearance of Kristin Smart
138,The Kidnapping of Schanda Handley | Sneak peek
139,"Student shares late professor's passion, taste for insects"
140,Karrie's Choice | Full Episode
141,Marianne Shockley's passion: Eating bugs
142,Bodycam footage captures investigation of mysterious crime scene
143,The Strange Death of Professor Shockley | Sneak peek
144,Gabby Petito: The Untold Story | Sneak peek
145,Dead Ringer | Full Episode
146,A Death In Payson Canyon | Full Episode
147,Fraudulent bank call leads police to new evidence in deaths of mother and daughter
148,911 caller says that his girlfriend's sister killed their mother
149,Death Hits Home: The Hargan Killings | Sneak peek
150,Missing woman’s dog helps lead investigators to suspect with a criminal past
151,Police uncover 2006 murder suspect's criminal past
152,Investigating the disappearance of Lori Ann Slesinski
153,Sneak peek: A Man with a Past
154,What caused Lauren Kanarek to take her grievances to social media?
155,911 call: Lauren Kanarek shot by former Olympian Michael Barisone
156,The shooting of Lauren Kanarek: Sneak peek
157,Sneak peek: The Tara Grinstead Mystery
158,Secrets of Waco | Full Episode
159,Natalie Wood: Death in Dark Water | Full Episode
160,What happened the night 12-year-old Jonelle Matthews disappeared?
161,“True-crime junkie” inserts himself into a decades-long investigation
162,The Golden State Killer | Full Episode
163,Don Lewis disappearance: Investigating the “meat grinder” theory
164,Who was Henry Jemmott?
165,Jasmine Hartin tells her side of the story
166,What happened the night Don Lewis went missing?
167,The Case Against Brooke Skylar Richardson | Full Episode
168,Chad Daybell’s children speak out in his defense
169,JJ  Vallow and Tylee Ryan: Inside their final days
170,Is Chad Daybell involved in Tammy Daybell’s death?
171,The Secrets of Chad Daybell's Backyard | Sneak peek
172,Stephen Smith death: What happened to the S.C. teen?
173,Woman wears the engagement ring of her slain fiancé years later
174,A murder plan is discovered in a trash can — will it lead to a killer?
175,Peter Chadwick: Caught | Sneak peek
176,How did Nikki Kuhnhausen's murder inspire a new law?
177,Brandon Pettit case: What is autism?
178,Inside the Brandon Pettit investigation and his defense
179,A sister fights for her brother after he is accused of killing their parents
180,Man wrongfully convicted of killing Idaho teen gets $11.7 million settlement
181,CBS News correspondent Richard Schlesinger announces his retirement
