,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,Chloe Stein FAKED Her Own Kidnapping!?,2023-05-22,336197,19036,1852.0,"The first 100 people to use code KENDALLRAE at the link below will get 60% off of Incogni: https://incogni.com/kendallrae 

Shop my Charity merch: https://milehighermerch.com/collections/kendall-rae 

#truecrime #kendallrae #fakedkidnapping #found 

Chloe Stein faked her own kidnapping... is there EVER a scenario where this is ok? I'm not so sure... 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out my brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon

Source Material: 
https://meaww.com/chloe-stein-pennsylvania-woman-fakes-disappearance-to-avoid-shame-over-failed-college-graduation
https://www.abc27.com/news/missing-pennsylvania-woman-charged-after-abduction-hoax/amp/
https://www.youtube.com/watch?v=DqTbJk4ZjpU
https://www.youtube.com/watch?v=HRycPEWfo6s",May,Kendall Rae
1,Lies Exposed Around the Death of Shanquella Robinson,2023-05-19,37386,2535,69.0,"With this newfound evidence, its clear that the stories told by those that were with Shanquella at the time of her death were all lies #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out by brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
2,Woman Burns Deceased Husband's Will,2023-05-17,18916,939,15.0,"At this point in the case, the investigation proves to be a bit more sinister after proof that Lana burned her husband’s will surfaces #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out by brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
3,Woman Arrested for Murdering Her Husband,2023-05-16,23384,1204,13.0,"After her interrogation, Lana was arrested for the murder of her husband #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out by brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
4,Eye Drops Used as Poison,2023-05-16,11098,663,20.0,"In an attempt, according to Lana, to escape her husband's abuse, she tried to poison her husband to make him sick. Though she ended up lethally poisoning him instead and was then arrested for his murder. #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out by brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
5,Hit By His Own Truck or Was He Murdered?! The Suspicious Death of Grant Solomon,2023-05-15,1083354,45420,5988.0,"The gofundme has raised $77k since this video came out. Thank you all so very much!!! GoFundMe: https://www.gofundme.com/f/help-get-justice-for-grant?utm_source=widget&utm_medium=referral&utm_campaign=p_cp+share-sheet 

*Donations are tax-deductible

Gracie's YouTube Video - A Cry For Help: https://www.youtube.com/watch?v=bpNRNuaFhAk&t=122s 

Linktree to Access Resources to Help Angie, Gracie, and Grant: https://linktr.ee/justiceforgrant

Angie’s Official Instagram: https://www.instagram.com/angiesolomonfamilyofficial/ 

Freedom 4 Gracie Website: https://www.freedom4gracie.com/ 

I am requesting coverage on the suspicious death of Grant Solomon. It's possible that his father, the only witness, is responsible for what happened to him. He is also responsible for abusing his sister and mom. Please consider covering this story urgently @NewsNation @BrianEntin 

*May 25th, 2023, there is an event being held in Nashville in honor of Grant. Please follow Angie's social media accounts to stay up to date on all event details. 

#truecrime #kendallrae #grantsolomon #graciesolomon #truecrimewithkendallrae 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out my brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon

Sources: https://pastebin.com/WkK1ZkAr",May,Kendall Rae
6,Lesly Palacio’s Body Found,2023-05-14,48739,2469,32.0,"11 days after she went missing, Lesly Palacio’s body was recovered  #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out by brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
7,Heartbreaking Case of Lesly Palacio,2023-05-12,25874,1309,25.0,"The heartbreaking case of Lesly Palacio #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out by brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
8,Wife Murdered with Poison by Husband,2023-05-11,28110,1452,18.0,"Unfortunately, Angela wasn’t able to beat the poison this time and passed away in the hospital. #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out my brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
9,Poison Case Gets Worse,2023-05-10,32767,1757,51.0,"After the initial round of poisoning didn’t “finish the job,” it is suspected that James came home to have lunch with his wife to poison her once more. #TrueCrime #KendallRae #shorts 

True Crime with Kendall Rae podcast
Apple Podcasts: https://apple.co/3rks84o
Spotify: https://spoti.fi/3jC66pr

Shop my Merch! https://milehighermerch.com/
Donate to NCMEC: https://give.missingkids.org/campaign/kendall-rae/c438796

Check out my other podcasts:
Mile Higher (True Crime)
@milehigherpod
YouTube: https://bit.ly/2ROzJcw
Twitter: http://twitter.com/milehigherpod
Instagram: http://instagram.com/milehigherpod

The Sesh (Current events, a little true crime, and a dash of personal)
https://bit.ly/3Mtoz4X
@the_seshpodcast
IG: https://bit.ly/3a9t6Xr
TW: https://bit.ly/2XH4C2A

Check out by brand, Higher Love Wellness: https://higherlovewellness.com/
Use code KENDALLRAE for 10% off your order (excludes bundles)

*Follow My Social!* @KendallRaeOnyt
Twitter: http://twitter.com/kendallraeonyt
Instagram: http://instagram.com/kendallraeonyt
Facebook: https://bit.ly/3kar4NK
True Crime TikTok: https://bit.ly/3VDbc77
Personal TikTok: https://bit.ly/41hmRKg
My Zoo: http://instagram.com/milehigherzoo

Watch my documentary, Apartment 801: https://bit.ly/2RJ9XXr

REQUESTS:
General case suggestion form: https://bit.ly/32kwPly
Form for people directly related/ close to the victim: https://bit.ly/3KqMZLj

Join my discord to chat with other viewers about this video, its free! https://discord.com/invite/an4stY9BCN

C O N T A C T:
For Business Inquiries - kendallrae@night.co
Send me mail 
Kendall Rae
8547 E Arapahoe Rd Ste J # 233
Greenwood Village, CO 80112

Researched by:
Emily Dodge

Edited by:
Emily Dodge
Tom Mckinnon",May,Kendall Rae
