,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,When An Evil Mother Realizes She's Been Caught,2023-05-14,2700360,69574,14585.0,"In today's true crime documentary, we're covering the case of Deasia Watkins.

Note for YouTube's review team, here is the context of the video: this is a documentary and authoritative news piece based on actual police documents and case files. Our goal is to inform our audience and raise awareness.",May,Explore with Us
1,Predator Realizes He's Going To Prison For Life,2023-05-07,3185249,63027,6648.0,"In today's true crime documentary, we're covering the case of Mark Gooch.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.

Analysis team qualifications:
- Licensed Clinical Psychologist
- Licensed Professional Counselor
- Former Licensed Professional Counselor
- Licensed Attorney",May,Explore with Us
2,When A Psychopath Realizes A Little Girl Tricked Him,2023-04-21,3676904,70590,7419.0,"In today's true crime documentary, we're covering the case of Christopher Gribble and Steven Spader.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.

Analysis team qualifications:
- Licensed Clinical Psychologist
- Licensed Professional Counselor
- Former Licensed Professional Counselor
- Licensed Attorney",Apr,Explore with Us
3,When the Detective is a Criminal,2023-04-19,2022104,50329,5466.0,"In today's true crime documentary, we're covering the case of Daniel Myers.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.

Analysis team qualifications:
- Licensed Clinical Psychologist
- Licensed Professional Counselor
- Former Licensed Professional Counselor
- Licensed Attorney",Apr,Explore with Us
4,When A Killer Doesn't Realize He's Being Filmed,2023-04-13,3564809,76333,6159.0,"In today's true crime documentary, we're covering the case of William Riley Gaul.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.

Analysis team qualifications:
- Licensed Clinical Psychologist
- Licensed Professional Counselor
- Former Licensed Professional Counselor
- Licensed Attorney",Apr,Explore with Us
5,When Police Unexpectedly Film The Killer At The Crime Scene,2023-04-10,3203611,57185,9905.0,"In today's true crime documentary, we're covering the case of Ngor Makuey.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.

Analysis team qualifications:
- Licensed Clinical Psychologist
- Licensed Professional Counselor
- Former Licensed Professional Counselor
- Licensed Attorney",Apr,Explore with Us
6,Detective Realizes The Victim Is Actually The Killer,2023-03-25,5313702,87791,10911.0,"In today's true crime documentary, we're covering the case of Samantha Wohlford.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.",Mar,Explore with Us
7,When The Killer Doesn't Realize What He's Done,2023-03-23,3844574,63634,12871.0,"In today's true crime documentary, we're covering the case of Jeffrey Hazelwood.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.

Analysis team qualifications:
- Licensed Clinical Psychologist
- Licensed Professional Counselor
- Former Licensed Professional Counselor
- Licensed Attorney",Mar,Explore with Us
8,The Most Chilling Interrogation Ever Filmed,2023-03-06,772709,19279,1680.0,"The most CHILLING interrogation ever filmed...

Watch the full documentary here: https://youtu.be/OoWSWlAX6Sk

#shorts",Mar,Explore with Us
9,13 Year Olds Murder Grandma For $155,2023-03-02,5477001,80456,13588.0,"In today's true crime documentary, we're covering the case of Anthony Barbeau and Nathan Paape.

Note for YouTube's review team, here is the context of the video: this is an educational documentary and authoritative news piece based on actual police documents and case files. Our team of psychology professionals analyze the interrogation footage from an educational perspective with a focus on psychology, red flags, and prevention. Our goal is to educate the public, inform our audience, and raise awareness.

Analysis team qualifications:
- Licensed Clinical Psychologist
- Licensed Professional Counselor
- Former Licensed Professional Counselor
- Licensed Attorney and former Criminal Prosecutor
- Licensed Attorney",Mar,Explore with Us
