,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,CASSIE STODDART: THE SCREAM KILLERS,2023-05-15,243475,9115,340.0,"follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",May,Bella Fiori
1,SOLVED | THE DISCORD KILLER,2023-05-08,307136,12221,479.0,"follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",May,Bella Fiori
2,The Mysterious Death of Annie Börjesson | Was it a CIA Cover-Up?,2023-05-01,448160,14077,852.0,"follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",May,Bella Fiori
3,MOVING TO THE OTHER SIDE OF THE WORLD & London Rental Hunting,2023-03-10,212368,13044,950.0,"at the start of this year my fiancé packed up our lives in australia and moved to london! i can't wait to share our journey with you, thanks for watching ♥ 

follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia

music used:
Joey Pecoraro -learning how to walk: https://soundcloud.com/joeypecoraro
Aixie - Hazy Days: https://thmatc.co/?l=2C22B502
Joey Pecoraro - don't be a fool: https://open.spotify.com/artist/44insiIQApkRaCMIbuaISJ
Joey Pecoraro - lazy on the river: https://soundcloud.com/joeypecoraro/lazy-on-the-river
Eric Feinberg - dear anne: epidemic sounds",Mar,Bella Fiori
4,SOLVED AFTER NEARLY 30 YEARS: The Case of Mandy Stavik,2023-02-27,621664,18315,499.0,"🌏 Get the exclusive NordVPN deal here ➼ https://nordvpn.com/bellafiori It’s risk-free with Nord’s 30-day money-back guarantee! ✌
Thanks to NordVPN for sponsoring this video.

https://mtbakerscholarship.org/scholarships.html

follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",Feb,Bella Fiori
5,THE COUGH SYRUP KILLER: The Case of Lauren Hugelmaier,2023-02-21,421271,14781,467.0,"CASETiFY's Clear Cases are available at casetify.com! Go to http://www.casetify.com/bella today to get 15% off your order! Thanks to Casetify for sponsoring this video!

Lauren's Light Foundation: https://www.nccommunityfoundation.org/list-of-funds/laurens-light-gift-fund

follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",Feb,Bella Fiori
6,SOLVED: The Case of the Pan Family | Jennifer Pan’s Web of Lies,2023-01-30,333319,10228,410.0,"Visit https://bit.ly/BELLAFRESH and use my code ""BELLAFRESH"" to get 65% off if you're in the US but wherever you’re watching from you will also get a very special discount using my code and link as it’s valid internationally!

The case of the Gonzales family: https://youtu.be/wg3ecpzflOc

follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori
Spotify: https://goo.gl/PjzzPq​​​​​​​​​​

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",Jan,Bella Fiori
7,The Suitcase Murder: Bill and Melanie McGuire,2022-12-28,533826,17187,1337.0,"CASETiFY's Bounce Cases and Clear Cases are available at casetify.com! Go to http://www.casetify.com/bella today to get 15% off your order! Thanks to Casetify for sponsoring this video!

follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori
Spotify: https://goo.gl/PjzzPq​​​​​​​​​​

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",Dec,Bella Fiori
8,The Noida Double Murders | Aarushi Talwar and Hemraj Banjade,2022-12-18,474491,13411,995.0,"Let Audible help you discover new ways to laugh, be inspired, or be entertained. New members can try it free for 30 days. Visit https://www.audible.com/bellafiori   or text bellafiori to 500-500.

follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori
Spotify: https://goo.gl/PjzzPq​​​​​​​​​​

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",Dec,Bella Fiori
9,SOLVED AFTER 33 YEARS: The Case of Carrie Ann Jopek,2022-11-29,676003,19158,686.0,"CASETiFY's biggest sale of the year is here! Visit http://www.casetify.com/bella today to get the best value tech protection! Thanks to Casetify for sponsoring this video!


follow my other social media :)  

Instagram: @isabella_fiori
Twitter: @IsabellaLFiori
Spotify: https://goo.gl/PjzzPq​​​​​​​​​​

Contact for business enquiries: contact@bfiori.com

Send me mail:
PO BOX 642
Morningside, QLD, 4170 
Australia",Nov,Bella Fiori
