,Title,PublishedDate,Views,Likes,Comments,Description,Month,Channel
0,Where is Jennifer Kesse? | Full Episode,2023-05-23,96687,3568,571,"A young woman vanishes from her Florida condo – security footage captures a phantom figure calmly parking her car. Is it the kidnapper? ""48 Hours"" correspondent Peter Van Sant reports. Watch more full episodes of ""48 Hours"" on Pluto TV.

#48hours #crime #mystery 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: http://bit.ly/1DvRWbT
Watch full episodes of “48 Hours”: http://bit.ly/1fop6N1
Follow “48 Hours” on Instagram: http://bit.ly/1OLG2B9
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: http://bit.ly/1MOCAXf
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
1,New Jersey woman survives stabbing during home invasion,2023-05-20,48127,1289,121,"Donna Ongsiako was getting ready to go to bed in her farmhouse in Colts Neck, New Jersey, when an intruder broke into her home and stabbed her repeatedly. Miraculously, she survived. She sat down with ""48 Hours"" to discuss her extremely difficult recovery.

#48hours #crime #mystery 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: https://www.youtube.com/@48hours
Watch full episodes of “48 Hours”: https://www.cbs.com/shows/48_hours/
Listen to the ""48 Hours"" podcast: https://link.chtbl.com/48-Hours
Listen to the ""My Life of Crime with Erin Moriarty"" podcast: https://link.chtbl.com/CBSNewsMLOC
Follow “48 Hours” on Instagram: https://www.instagram.com/48hoursCBS/
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: https://twitter.com/48hours
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
2,"Woman's love for her daughter helped her survive: ""A mother's instinct""",2023-05-19,28254,793,48,"Donna Ongsiako was stabbed in her home and left for dead. Her motivation to stay alive? The love for her daughter.

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: https://www.youtube.com/@48hours
Watch full episodes of “48 Hours”: https://www.cbs.com/shows/48_hours/
Listen to the ""48 Hours"" podcast: https://link.chtbl.com/48-Hours
Listen to the ""My Life of Crime with Erin Moriarty"" podcast: https://link.chtbl.com/CBSNewsMLOC
Follow “48 Hours” on Instagram: https://www.instagram.com/48hoursCBS/
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: https://twitter.com/48hours
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
3,The COVID Cover-Up: Searching for Gretchen Anthony | Full Episode,2023-05-19,993785,14630,1831,"A mother disappears. Texts reveal she has coronavirus – was someone using COVID to cover up a killing? ""48 Hours"" correspondent Peter Van Sant reports. Watch more full episodes of ""48 Hours"" on Pluto TV.

#48hours #crime #mystery 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: http://bit.ly/1DvRWbT
Watch full episodes of “48 Hours”: http://bit.ly/1fop6N1
Follow “48 Hours” on Instagram: http://bit.ly/1OLG2B9
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: http://bit.ly/1MOCAXf
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
4,Lori Vallow Daybell: Guilty | Full Episode,2023-05-16,1057167,17081,3198,"A jury in Idaho found Lori Vallow Daybell guilty on all charges, including the murders of her two children and conspiracy to commit murder in the death of her husband's first wife. ""48 Hours"" contributor Jonathan Vigliotti takes you inside the case that gripped the nation. Watch more full episodes of ""48 Hours"" on Pluto TV.

#48hours #crime #mystery 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: https://www.youtube.com/@48hours
Watch full episodes of “48 Hours”: https://www.cbs.com/shows/48_hours/
Listen to the ""48 Hours"" podcast: https://link.chtbl.com/48-Hours
Listen to the ""My Life of Crime with Erin Moriarty"" podcast: https://link.chtbl.com/CBSNewsMLOC
Follow “48 Hours” on Instagram: https://www.instagram.com/48hoursCBS/
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: https://twitter.com/48hours
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ
For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
5,Lori Vallow Daybell: Guilty | Sneak peek,2023-05-13,64004,1754,263,"A jury in Idaho found Lori Vallow Daybell guilty on all charges, including the murders of her two children and conspiracy to commit murder in the death of her husband's first wife. ""48 Hours"" contributor Jonathan Vigliotti takes you inside the case that gripped the nation Saturday, May 13 at 10/9c on CBS and streaming on Paramount+.

#48hours #lorivallowdaybell #chaddaybell 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: https://www.youtube.com/@48hours
Watch full episodes of “48 Hours”: https://www.cbs.com/shows/48_hours/
Listen to the ""48 Hours"" podcast: https://link.chtbl.com/48-Hours
Listen to the ""My Life of Crime with Erin Moriarty"" podcast: https://link.chtbl.com/CBSNewsMLOC
Follow “48 Hours” on Instagram: https://www.instagram.com/48hoursCBS/
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: https://twitter.com/48hours
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
6,"""48 Hours"" profiles ""A Stabbing in Colts Neck""",2023-05-12,33924,821,64,"A New Jersey woman was violently stabbed in her own home on Fourth of July weekend in 2013. Despite her serious injuries, Donna Ongsiako was able to call 911. Jim Axelrod investigates her attempted murder for ""48 Hours"" and explains how the community helped police find her attacker. 

PROGRAM NOTE: This episode, previously scheduled for Saturday, May 13,  will air Saturday, May 20 at 10/9c on CBS and streaming on Paramount+.

#48hours #crime #mystery 

Each weekday morning, ""CBS Mornings” co-hosts Gayle King, Tony Dokoupil and Nate Burleson bring you the latest breaking news, smart conversation and in-depth feature reporting. ""CBS Mornings"" airs weekdays at 7 a.m. on CBS and stream it at 8 a.m. ET on the CBS News app.

Subscribe to “CBS Mornings” on YouTube: https://www.youtube.com/CBSMornings 
Watch CBS News: http://cbsn.ws/1PlLpZ7c
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Follow ""CBS Mornings"" on Instagram: https://bit.ly/3A13OqA
Like ""CBS Mornings"" on Facebook: https://bit.ly/3tpOx00
Follow ""CBS Mornings"" on Twitter: https://bit.ly/38QQp8B
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T​
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
7,Where is Diana Duve? | Full Episode,2023-05-12,533572,10857,1112,"When a woman disappears with her boyfriend, investigators learn he was entrusted with millions at his bank job, but he also told outlandish lies about who he was. ""48 Hours"" contributor Michelle Miller reports. Watch more full episodes of ""48 Hours"" on Pluto TV.

#48hours #crime #mystery 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: https://www.youtube.com/@48hours
Watch full episodes of “48 Hours”: https://www.cbs.com/shows/48_hours/
Listen to the ""48 Hours"" podcast: https://link.chtbl.com/48-Hours
Listen to the ""My Life of Crime with Erin Moriarty"" podcast: https://link.chtbl.com/CBSNewsMLOC
Follow “48 Hours” on Instagram: https://www.instagram.com/48hoursCBS/
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: https://twitter.com/48hours
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ
For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
8,The Disappearance of Natalee Holloway | Full Episode,2023-05-11,659739,9093,1485,"In May 2023, Peru approved a request to extradite Joran van der Sloot to the US to face charges after he allegedly tried to extort money from the Holloway family after Natalee’s disappearance. Van der Sloot’s lawyer says he will fight it. This episode originally aired on March 25, 2006. Watch more full episodes of ""48 Hours"" on Pluto TV. 

#48hours #crime #mystery 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: https://www.youtube.com/@48hours
Watch full episodes of “48 Hours”: https://www.cbs.com/shows/48_hours/
Listen to the ""48 Hours"" podcast: https://link.chtbl.com/48-Hours
Listen to the ""My Life of Crime with Erin Moriarty"" podcast: https://link.chtbl.com/CBSNewsMLOC
Follow “48 Hours” on Instagram: https://www.instagram.com/48hoursCBS/
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: https://twitter.com/48hours
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ
For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
9,A Stabbing in Colts Neck | Sneak peek,2023-05-11,29543,761,100,"A woman outwits a young stranger who attacked her in her own home. What will it take to find him? ""48 Hours"" contributor Jim Axelrod reports Saturday, May 20 at 10/9c on CBS and streaming on Paramount+.

PROGRAM NOTE: This episode was  previously scheduled for Saturday, May 13.

#48hours #crime #mystery 

Crime. Social justice. Impact. ""48 Hours"" investigates the most intriguing crime and justice cases that touch on all areas of the human experience including greed and passion. ""48 Hours,"" which premiered in 1988, has developed a rich history of original reporting and impact journalism that has helped exonerate wrongly convicted people, caused cold cases to be reopened and solved, and along the way changed lives.

Subscribe to the “48 Hours"" YouTube channel: https://www.youtube.com/@48hours
Watch full episodes of “48 Hours”: https://www.cbs.com/shows/48_hours/
Listen to the ""48 Hours"" podcast: https://link.chtbl.com/48-Hours
Listen to the ""My Life of Crime with Erin Moriarty"" podcast: https://link.chtbl.com/CBSNewsMLOC
Follow “48 Hours” on Instagram: https://www.instagram.com/48hoursCBS/
Like ""48 Hours"" on Facebook: http://on.fb.me/1KkQuRn
Follow ""48 Hours"" on Twitter: https://twitter.com/48hours
Subscribe to our newsletter: http://cbsn.ws/1RqHw7T
Download the CBS News app: http://cbsn.ws/1Xb1WC8
Try Paramount+ free: https://bit.ly/2OiW1kZ

For video licensing inquiries, contact: licensing@veritone.com",May,48 Hours
